hypothesis,strategy,universe,signal_timeframes,kernel_mode,kernel_name,numerical_signal_kernel,supported,reason
l1_h11a.yaml,l1_h11_quality_filtered_continuation,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h11a.yaml,l1_h11_quality_filtered_continuation,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h11b.yaml,l1_h11_quality_filtered_continuation,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h11b.yaml,l1_h11_quality_filtered_continuation,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h11c.yaml,l1_h11_quality_filtered_continuation,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h11c.yaml,l1_h11_quality_filtered_continuation,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h1_vol_floor_trend.yaml,l1_h1_vol_floor_trend,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h1_vol_floor_trend.yaml,l1_h1_vol_floor_trend,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h1b_salvage_trend.yaml,l1_h1b_salvage,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h1b_salvage_trend.yaml,l1_h1b_salvage,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h1c_volfloor_ema_pullback.yaml,volfloor_ema_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h1c_volfloor_ema_pullback.yaml,volfloor_ema_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h2_compression_mean_reversion.yaml,l1_h2_compression_mean_reversion,stable,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h2_compression_mean_reversion.yaml,l1_h2_compression_mean_reversion,volatile,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h3_har_rv_gate_trend.yaml,l1_h3_har_rv_gate_trend,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h3_har_rv_gate_trend.yaml,l1_h3_har_rv_gate_trend,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h3b_har_rv_gate_mean_reversion.yaml,l1_h3b_har_rv_gate_mean_reversion,stable,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h3b_har_rv_gate_mean_reversion.yaml,l1_h3b_har_rv_gate_mean_reversion,volatile,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h4a_liquidity_gate_mean_reversion.yaml,l1_h4a_liquidity_gate_mean_reversion,stable,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h4a_liquidity_gate_mean_reversion.yaml,l1_h4a_liquidity_gate_mean_reversion,volatile,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h4b_liquidity_gate_size_adjusted_mean_reversion.yaml,l1_h4b_liquidity_gate_size_adjusted_mean_reversion,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h4b_liquidity_gate_size_adjusted_mean_reversion.yaml,l1_h4b_liquidity_gate_size_adjusted_mean_reversion,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h5a_vol_managed_trend.yaml,l1_h5a_vol_managed_trend,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h5a_vol_managed_trend.yaml,l1_h5a_vol_managed_trend,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h5b_vol_managed_har_trend.yaml,l1_h5b_vol_managed_har_trend,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h5b_vol_managed_har_trend.yaml,l1_h5b_vol_managed_har_trend,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h6a_vov_gate_mean_reversion.yaml,l1_h6a_vov_gate_mean_reversion,stable,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h6a_vov_gate_mean_reversion.yaml,l1_h6a_vov_gate_mean_reversion,volatile,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7a_squeeze_expansion_pullback.yaml,l1_h7_squeeze_expansion_pullback,stable,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7a_squeeze_expansion_pullback.yaml,l1_h7_squeeze_expansion_pullback,volatile,"15m,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7b_squeeze_expansion_pullback_timeframe.yaml,l1_h7_squeeze_expansion_pullback,stable,"15m,1h,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7b_squeeze_expansion_pullback_timeframe.yaml,l1_h7_squeeze_expansion_pullback,volatile,"15m,1h,5m",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7c_high_selectivity_regime.yaml,l1_h7_squeeze_expansion_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7c_high_selectivity_regime.yaml,l1_h7_squeeze_expansion_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7d_adaptive_runner.yaml,l1_h7_squeeze_expansion_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7d_adaptive_runner.yaml,l1_h7_squeeze_expansion_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7e_flow_sensitive_runner.yaml,l1_h7_squeeze_expansion_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7e_flow_sensitive_runner.yaml,l1_h7_squeeze_expansion_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7f_flow_gated_entry.yaml,l1_h7_squeeze_expansion_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h7f_flow_gated_entry.yaml,l1_h7_squeeze_expansion_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8a.yaml,l1_h8_trend_continuation_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8a.yaml,l1_h8_trend_continuation_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8b.yaml,l1_h8_trend_continuation_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8b.yaml,l1_h8_trend_continuation_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8c.yaml,l1_h8_trend_continuation_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8c.yaml,l1_h8_trend_continuation_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
