id,state_key,bucket,joint_key,setup_class,hypothesis_name,dataset_type,phase,n_trades,ev_r_net,ev_r_gross,median_r,p95_r,p99_r,max_r,min_r,tail_3r_rate,tail_5r_rate,tail_10r_rate,avg_mfe_r,avg_mae_r,avg_exit_efficiency,avg_cost_drag_r,finding_type,confidence_score,evidence_json,source_path,created_at
0e643e627a6234c512794aa0eebc40ba0ef094e4,csi_x_oi,entry_state_csi_pctile_b3__entry_state_oi_accel_pctile_b0,,,l1_h11a_volatile,volatile,,23,-1.378453396641348,-1.3465059269347823,,0.8415296717098988,1.4861178278161409,1.642302627546,-4.062846781617,0.0,0.0,0.0,1.384166176391,1.9405432795741304,-25.30175240429891,0.0319474697065652,FRAGILE_STATE,,"{""avg_cost_drag_r"": 0.0319474697065652, ""avg_exit_efficiency"": -25.30175240429891, ""avg_fee_drag_r"": 0.0319474697064976, ""avg_mae_r"": 1.9405432795741304, ""avg_mfe_r"": 1.384166176391, ""avg_r_loss"": -1.7151526854965995, ""avg_r_win"": 0.8662085290603333, ""avg_slippage_drag_r"": 0.0159898295268996, ""avg_spread_drag_r"": NaN, ""bucket"": ""entry_state_csi_pctile_b3__entry_state_oi_accel_pctile_b0"", ""cost_drag_to_ev_ratio"": -0.023176314690367, ""dataset_type"": ""volatile"", ""ev_r_gross"": -1.3465059269347823, ""ev_r_net"": -1.378453396641348, ""experiment_id"": ""b59f82c3-ea8b-4ae2-b31e-b59e5497824e"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_vol"", ""finding_score"": -4.396772832005455, ""finding_type"": ""FRAGILE_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_volatile"", ""max_r"": 1.642302627546, ""median_mae_r"": 1.671927134868, ""median_mfe_r"": 0.961408435473, ""median_r_net"": -1.528285720544, ""min_r"": -4.062846781617, ""n_trades"": 23, ""p25_r"": -2.496859517826, ""p75_r"": -0.5380313795895, ""p95_r"": 0.8415296717098988, ""p99_r"": 1.4861178278161409, ""payoff_ratio"": 0.5050328967123613, ""sample_score"": 3.1780538303479458, ""state_variable"": ""csi_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.1304347826086956}",research/state_findings/tier2/l1_h11a_combined_state_findings.csv,2026-06-23T01:08:35+00:00
2221c4188eada4aab6007e55f838771697690622,csi_x_oi,entry_state_csi_pctile_b3__entry_state_oi_accel_pctile_b0,,,l1_h11a_volatile,volatile,,23,-1.3784533966,-1.3465059269,,0.8415296717,1.4861178278,1.6423026275,-4.0628467816,0.0,0.0,0.0,1.3841661764,1.9405432796,-25.3017524043,0.0319474697,FRAGILE_STATE,,"{""avg_cost_drag_r"": 0.0319474697, ""avg_exit_efficiency"": -25.3017524043, ""avg_fee_drag_r"": 0.0319474697, ""avg_mae_r"": 1.9405432796, ""avg_mfe_r"": 1.3841661764, ""avg_r_loss"": -1.7151526855, ""avg_r_win"": 0.8662085291, ""avg_slippage_drag_r"": 0.0159898295, ""avg_spread_drag_r"": null, ""bucket"": ""entry_state_csi_pctile_b3__entry_state_oi_accel_pctile_b0"", ""cost_drag_to_ev_ratio"": -0.0231763147, ""dataset_type"": ""volatile"", ""ev_r_gross"": -1.3465059269, ""ev_r_net"": -1.3784533966, ""experiment_id"": ""b59f82c3-ea8b-4ae2-b31e-b59e5497824e"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_vol"", ""finding_score"": -4.396772832, ""finding_type"": ""FRAGILE_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_volatile"", ""max_r"": 1.6423026275, ""median_mae_r"": 1.6719271349, ""median_mfe_r"": 0.9614084355, ""median_r_net"": -1.5282857205, ""min_r"": -4.0628467816, ""n_trades"": 23, ""p25_r"": -2.4968595178, ""p75_r"": -0.5380313796, ""p95_r"": 0.8415296717, ""p99_r"": 1.4861178278, ""payoff_ratio"": 0.5050328967, ""sample_score"": 3.1780538303, ""state_variable"": ""csi_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.1304347826}",research/state_findings/tier2/l1_h11a_combined_state_findings.json,2026-06-23T01:08:35+00:00
1028b27d63916e32f954baee85639e08ec0df1b1,funding_x_oi,entry_state_funding_pctile_b2__entry_state_oi_accel_pctile_b2,,,l1_h11a_stable,stable,,42,-1.3602781849,-1.2140244995,,-0.4457223016,0.3679084774,0.7032184033,-2.7855306487,0.0,0.0,0.0,1.2503709077,1.691167585,-38.8265844675,0.1462536854,FUNDING_EXTREME_AVOID_STATE,,"{""avg_cost_drag_r"": 0.1462536854, ""avg_exit_efficiency"": -38.8265844675, ""avg_fee_drag_r"": 0.1462536854, ""avg_mae_r"": 1.691167585, ""avg_mfe_r"": 1.2503709077, ""avg_r_loss"": -1.41060737, ""avg_r_win"": 0.7032184033, ""avg_slippage_drag_r"": 0.0731318404, ""avg_spread_drag_r"": null, ""bucket"": ""entry_state_funding_pctile_b2__entry_state_oi_accel_pctile_b2"", ""cost_drag_to_ev_ratio"": -0.1075174821, ""dataset_type"": ""stable"", ""ev_r_gross"": -1.2140244995, ""ev_r_net"": -1.3602781849, ""experiment_id"": ""36021d7e-455c-4270-b3ab-ec633b06cb05"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_stable"", ""finding_score"": 5.1162784663, ""finding_type"": ""FUNDING_EXTREME_AVOID_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_stable"", ""max_r"": 0.7032184033, ""median_mae_r"": 1.854510464, ""median_mfe_r"": 1.1678159493, ""median_r_net"": -1.5783857314, ""min_r"": -2.7855306487, ""n_trades"": 42, ""p25_r"": -1.9779972836, ""p75_r"": -0.6503372906, ""p95_r"": -0.4457223016, ""p99_r"": 0.3679084774, ""payoff_ratio"": 0.4985217136, ""sample_score"": 3.7612001157, ""state_variable"": ""funding_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.0238095238}",research/state_findings/tier2/l1_h11a_combined_state_findings.json,2026-06-23T01:08:35+00:00
f75516b6323fa878f166a736819fcf369aa28c62,funding_x_oi,entry_state_funding_pctile_b2__entry_state_oi_accel_pctile_b2,,,l1_h11a_stable,stable,,42,-1.360278184879762,-1.2140244995055238,,-0.44572230159045,0.3679084773546069,0.703218403303,-2.785530648689,0.0,0.0,0.0,1.2503709077399288,1.691167585033786,-38.82658446754807,0.1462536853742381,FUNDING_EXTREME_AVOID_STATE,,"{""avg_cost_drag_r"": 0.1462536853742381, ""avg_exit_efficiency"": -38.82658446754807, ""avg_fee_drag_r"": 0.1462536853742126, ""avg_mae_r"": 1.691167585033786, ""avg_mfe_r"": 1.2503709077399288, ""avg_r_loss"": -1.4106073699573902, ""avg_r_win"": 0.703218403303, ""avg_slippage_drag_r"": 0.0731318403844516, ""avg_spread_drag_r"": NaN, ""bucket"": ""entry_state_funding_pctile_b2__entry_state_oi_accel_pctile_b2"", ""cost_drag_to_ev_ratio"": -0.1075174820855969, ""dataset_type"": ""stable"", ""ev_r_gross"": -1.2140244995055238, ""ev_r_net"": -1.360278184879762, ""experiment_id"": ""36021d7e-455c-4270-b3ab-ec633b06cb05"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_stable"", ""finding_score"": 5.11627846634519, ""finding_type"": ""FUNDING_EXTREME_AVOID_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_stable"", ""max_r"": 0.703218403303, ""median_mae_r"": 1.854510464013, ""median_mfe_r"": 1.16781594926, ""median_r_net"": -1.578385731377, ""min_r"": -2.785530648689, ""n_trades"": 42, ""p25_r"": -1.97799728358, ""p75_r"": -0.6503372906142499, ""p95_r"": -0.44572230159045, ""p99_r"": 0.3679084773546069, ""payoff_ratio"": 0.498521713610671, ""sample_score"": 3.7612001156935615, ""state_variable"": ""funding_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.0238095238095238}",research/state_findings/tier2/l1_h11a_combined_state_findings.csv,2026-06-23T01:08:35+00:00
4201ed7cf295c6751fe0ae4bc3c298550414685a,funding_x_oi,entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b0,,,l1_h11a_volatile,volatile,,30,-1.2869499957200332,-1.2636058585549,,0.3429945524574497,0.7727148332853805,0.932371719683,-4.639435221949,0.0,0.0,0.0,1.331203068761433,1.965192416178967,-2.8415033073951728,0.0233441371651333,FUNDING_EXTREME_AVOID_STATE,,"{""avg_cost_drag_r"": 0.0233441371651333, ""avg_exit_efficiency"": -2.8415033073951728, ""avg_fee_drag_r"": 0.0233441371651195, ""avg_mae_r"": 1.965192416178967, ""avg_mfe_r"": 1.331203068761433, ""avg_r_loss"": -1.7686935428735218, ""avg_r_win"": 0.2959216592128572, ""avg_slippage_drag_r"": 0.011671236711253, ""avg_spread_drag_r"": NaN, ""bucket"": ""entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b0"", ""cost_drag_to_ev_ratio"": -0.0181391174814624, ""dataset_type"": ""volatile"", ""ev_r_gross"": -1.2636058585549, ""ev_r_net"": -1.2869499957200332, ""experiment_id"": ""b59f82c3-ea8b-4ae2-b31e-b59e5497824e"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_vol"", ""finding_score"": 4.419369818114808, ""finding_type"": ""FUNDING_EXTREME_AVOID_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_volatile"", ""max_r"": 0.932371719683, ""median_mae_r"": 1.6892501137255, ""median_mfe_r"": 0.8089911808425, ""median_r_net"": -1.0334319573639998, ""min_r"": -4.639435221949, ""n_trades"": 30, ""p25_r"": -1.8791242426695, ""p75_r"": -0.3623250419145, ""p95_r"": 0.3429945524574497, ""p99_r"": 0.7727148332853805, ""payoff_ratio"": 0.1673108721435629, ""sample_score"": 3.4339872044851463, ""state_variable"": ""funding_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.2333333333333333}",research/state_findings/tier2/l1_h11a_combined_state_findings.csv,2026-06-23T01:08:35+00:00
15bb80e1f83db4c4e363b8a1f8e5faa71d3b0f3f,funding_x_oi,entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b0,,,l1_h11a_volatile,volatile,,30,-1.2869499957,-1.2636058586,,0.3429945525,0.7727148333,0.9323717197,-4.6394352219,0.0,0.0,0.0,1.3312030688,1.9651924162,-2.8415033074,0.0233441372,FUNDING_EXTREME_AVOID_STATE,,"{""avg_cost_drag_r"": 0.0233441372, ""avg_exit_efficiency"": -2.8415033074, ""avg_fee_drag_r"": 0.0233441372, ""avg_mae_r"": 1.9651924162, ""avg_mfe_r"": 1.3312030688, ""avg_r_loss"": -1.7686935429, ""avg_r_win"": 0.2959216592, ""avg_slippage_drag_r"": 0.0116712367, ""avg_spread_drag_r"": null, ""bucket"": ""entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b0"", ""cost_drag_to_ev_ratio"": -0.0181391175, ""dataset_type"": ""volatile"", ""ev_r_gross"": -1.2636058586, ""ev_r_net"": -1.2869499957, ""experiment_id"": ""b59f82c3-ea8b-4ae2-b31e-b59e5497824e"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_vol"", ""finding_score"": 4.4193698181, ""finding_type"": ""FUNDING_EXTREME_AVOID_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_volatile"", ""max_r"": 0.9323717197, ""median_mae_r"": 1.6892501137, ""median_mfe_r"": 0.8089911808, ""median_r_net"": -1.0334319574, ""min_r"": -4.6394352219, ""n_trades"": 30, ""p25_r"": -1.8791242427, ""p75_r"": -0.3623250419, ""p95_r"": 0.3429945525, ""p99_r"": 0.7727148333, ""payoff_ratio"": 0.1673108721, ""sample_score"": 3.4339872045, ""state_variable"": ""funding_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.2333333333}",research/state_findings/tier2/l1_h11a_combined_state_findings.json,2026-06-23T01:08:35+00:00
52e00fe1c992808746f539297526acd00345d3d6,funding_x_oi,entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b0,,,,,,81,-1.1953138948607716,,,,,,,,,,,,,,,,"{""bucket"": ""entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b0"", ""ev_r_net"": -1.1953138948607716, ""n_datasets"": 2, ""n_hypotheses"": 1, ""n_trades"": 81, ""state_variable"": ""funding_x_oi"", ""tail_5r_count"": 1}",research/state_findings/tier2/l1_h11a_combined_cross_state_aggregate.csv,2026-06-23T01:08:35+00:00
121a4cdbe7377a7b9f35964219c16516acff089f,funding_x_oi,entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b3,,,l1_h11a_stable,stable,,12,-1.18198808883325,-1.0422599235876666,,-0.97801251080645,-0.97801235498529,-0.97801231603,-1.60206379439,0.0,0.0,0.0,0.2876883474056667,1.4624585968495831,-8.323817693695416,0.1397281652455833,FRAGILE_STATE,,"{""avg_cost_drag_r"": 0.1397281652455833, ""avg_exit_efficiency"": -8.323817693695416, ""avg_fee_drag_r"": 0.1397281652454484, ""avg_mae_r"": 1.4624585968495831, ""avg_mfe_r"": 0.2876883474056667, ""avg_r_loss"": -1.18198808883325, ""avg_r_win"": NaN, ""avg_slippage_drag_r"": 0.0698601543769747, ""avg_spread_drag_r"": NaN, ""bucket"": ""entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b3"", ""cost_drag_to_ev_ratio"": -0.118214529034307, ""dataset_type"": ""stable"", ""ev_r_gross"": -1.0422599235876666, ""ev_r_net"": -1.18198808883325, ""experiment_id"": ""36021d7e-455c-4270-b3ab-ec633b06cb05"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_stable"", ""finding_score"": -3.1016036716028266, ""finding_type"": ""FRAGILE_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_stable"", ""max_r"": -0.97801231603, ""median_mae_r"": 1.294849348632, ""median_mfe_r"": 0.3122337061685, ""median_r_net"": -1.1852623399134998, ""min_r"": -1.60206379439, ""n_trades"": 12, ""p25_r"": -1.29934596169425, ""p75_r"": -0.97802568653125, ""p95_r"": -0.97801251080645, ""p99_r"": -0.97801235498529, ""payoff_ratio"": NaN, ""sample_score"": 2.5649493574615367, ""state_variable"": ""funding_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": true, ""win_rate"": 0.0}",research/state_findings/tier2/l1_h11a_combined_state_findings.csv,2026-06-23T01:08:35+00:00
96a8275bd29e22c643e25866ebe173d6fe2f2be3,funding_x_oi,entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b3,,,l1_h11a_stable,stable,,12,-1.1819880888,-1.0422599236,,-0.9780125108,-0.978012355,-0.978012316,-1.6020637944,0.0,0.0,0.0,0.2876883474,1.4624585968,-8.3238176937,0.1397281652,FRAGILE_STATE,,"{""avg_cost_drag_r"": 0.1397281652, ""avg_exit_efficiency"": -8.3238176937, ""avg_fee_drag_r"": 0.1397281652, ""avg_mae_r"": 1.4624585968, ""avg_mfe_r"": 0.2876883474, ""avg_r_loss"": -1.1819880888, ""avg_r_win"": null, ""avg_slippage_drag_r"": 0.0698601544, ""avg_spread_drag_r"": null, ""bucket"": ""entry_state_funding_pctile_b3__entry_state_oi_accel_pctile_b3"", ""cost_drag_to_ev_ratio"": -0.118214529, ""dataset_type"": ""stable"", ""ev_r_gross"": -1.0422599236, ""ev_r_net"": -1.1819880888, ""experiment_id"": ""36021d7e-455c-4270-b3ab-ec633b06cb05"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_stable"", ""finding_score"": -3.1016036716, ""finding_type"": ""FRAGILE_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_stable"", ""max_r"": -0.978012316, ""median_mae_r"": 1.2948493486, ""median_mfe_r"": 0.3122337062, ""median_r_net"": -1.1852623399, ""min_r"": -1.6020637944, ""n_trades"": 12, ""p25_r"": -1.2993459617, ""p75_r"": -0.9780256865, ""p95_r"": -0.9780125108, ""p99_r"": -0.978012355, ""payoff_ratio"": null, ""sample_score"": 2.5649493575, ""state_variable"": ""funding_x_oi"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 0, ""tail_2r_rate"": 0.0, ""tail_3r_count"": 0, ""tail_3r_rate"": 0.0, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": true, ""win_rate"": 0.0}",research/state_findings/tier2/l1_h11a_combined_state_findings.json,2026-06-23T01:08:35+00:00
f048dd3098d1d10e8f4ab44723dd6ca64f225d01,funding_x_basis,entry_state_funding_pctile_b3__entry_state_basis_pctile_b0,,,l1_h11a_stable,stable,,452,-1.1105304907,-0.9902066175,,1.3155077243,3.086448814,3.4806359157,-5.3533914421,0.0110619469,0.0,0.0,1.3022412291,1.5403784886,-5.2180240196,0.1203238732,FUNDING_EXTREME_AVOID_STATE,,"{""avg_cost_drag_r"": 0.1203238732, ""avg_exit_efficiency"": -5.2180240196, ""avg_fee_drag_r"": 0.1203238732, ""avg_mae_r"": 1.5403784886, ""avg_mfe_r"": 1.3022412291, ""avg_r_loss"": -1.4806455822, ""avg_r_win"": 1.4036996137, ""avg_slippage_drag_r"": 0.0601668362, ""avg_spread_drag_r"": null, ""bucket"": ""entry_state_funding_pctile_b3__entry_state_basis_pctile_b0"", ""cost_drag_to_ev_ratio"": -0.1083481041, ""dataset_type"": ""stable"", ""ev_r_gross"": -0.9902066175, ""ev_r_net"": -1.1105304907, ""experiment_id"": ""36021d7e-455c-4270-b3ab-ec633b06cb05"", ""experiment_root"": ""outputs/tier2/l1_h11a_parallel_stable"", ""finding_score"": 6.7918846829, ""finding_type"": ""FUNDING_EXTREME_AVOID_STATE"", ""hypothesis_id"": ""4f534213-d8ba-48e0-87ce-9b2985954148"", ""hypothesis_name"": ""l1_h11a_stable"", ""max_r"": 3.4806359157, ""median_mae_r"": 1.3614734511, ""median_mfe_r"": 0.8436785523, ""median_r_net"": -1.2450179774, ""min_r"": -5.3533914421, ""n_trades"": 452, ""p25_r"": -1.7356359903, ""p75_r"": -0.6493889391, ""p95_r"": 1.3155077243, ""p99_r"": 3.086448814, ""payoff_ratio"": 0.9480321494, ""sample_score"": 6.1158921255, ""state_variable"": ""funding_x_basis"", ""tail_10r_count"": 0, ""tail_10r_rate"": 0.0, ""tail_2r_count"": 17, ""tail_2r_rate"": 0.0376106195, ""tail_3r_count"": 5, ""tail_3r_rate"": 0.0110619469, ""tail_5r_count"": 0, ""tail_5r_rate"": 0.0, ""weak_sample"": false, ""win_rate"": 0.1283185841}",research/state_findings/tier2/l1_h11a_combined_state_findings.json,2026-06-23T01:08:35+00:00
